m1,p
http://dbpedia.org/resource/Klarna,http://dbpedia.org/resource/Michael_Moritz
http://dbpedia.org/resource/Chaosium,http://dbpedia.org/resource/Michael_O'Brien_(game_designer)
http://dbpedia.org/resource/Rupp_Industries,http://dbpedia.org/resource/Mickey_Rupp
http://dbpedia.org/resource/Act3animation,http://dbpedia.org/resource/Mike_Hollands
http://dbpedia.org/resource/Motilal_Oswal_Group,http://dbpedia.org/resource/Motilal_Oswal
http://dbpedia.org/resource/The_Belmont_Sessions,http://dbpedia.org/resource/Motion_graphics
http://dbpedia.org/resource/Godrej_Industries_Ltd,http://dbpedia.org/resource/Nadir_Godrej
http://dbpedia.org/resource/Godrej_Group,http://dbpedia.org/resource/Nadir_Godrej
http://dbpedia.org/resource/No_Kill_Advocacy_Center,http://dbpedia.org/resource/Nathan_Winograd
http://dbpedia.org/resource/Solvil_et_Titus,http://dbpedia.org/resource/Paul_Bernard_Vogel
http://dbpedia.org/resource/Arcadia_Group,http://dbpedia.org/resource/Paul_Budge
http://dbpedia.org/resource/Witt/Thomas_Productions,http://dbpedia.org/resource/Paul_Junger_Witt
